@RELATION stress
@ATTRIBUTE VERTICAL_AVERAGE_PRESSURE NUMERIC
@ATTRIBUTE VERTICAL_AVERAGE_SIZE NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_TIME_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_INTERACTION_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_INTERACTION NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_CENTER NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_TOP_LEFT NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY_SUM_EVERY_POINT NUMERIC
@ATTRIBUTE class {no-stress, stress}
@data
0.6432291840513548,0.3500000163912773,374.0,363.0,437.11825576806575,1.0303030303030303,1.2041825227770406,431.0359617714537,1355.008187561038,12.0,66.0,stress
0.6437500193715096,0.3500000163912773,621.0,107.0,168.55933285873346,5.803738317757009,1.5753208678386303,260.63523815497365,1284.7072038692218,30.0,30.0,stress
0.5749999955296516,0.3166666775941849,880.0,98.0,181.03058275664236,8.979591836734693,1.8472508444555342,441.5273231432377,1449.2493747037524,56.0,58.0,stress
0.5892857142857143,0.3333333432674408,1444.0,83.0,286.3652811945203,17.397590361445783,3.450184110777353,402.0404362491604,1373.2979134853524,26.0,32.0,stress
0.625,0.3333333432674408,13.0,82.0,0.0,0.15853658536585366,0.0,363.55604794859346,1367.7737385986031,0.0,0.0,stress
0.6296875141561031,0.35416668467223644,343.0,231.0,356.0546074710484,1.4848484848484849,1.5413619371041059,367.9466584710708,1402.2307750488922,127.0,127.0,stress
0.637500022138868,0.3333333432674408,343.0,82.0,264.99721907672796,4.182926829268292,3.231673403374731,411.44823640652135,1368.768124825117,77.0,79.0,stress
0.6078125163912773,0.3500000163912773,790.0,107.0,271.3269450923451,7.383177570093458,2.5357658419845337,388.6427884278877,1385.6589181047707,45.0,45.0,stress
0.6109375134110451,0.35833335295319557,264.0,107.0,160.12611351432528,2.467289719626168,1.4965057337787409,303.0624280458364,1329.3319810702292,15.0,21.0,stress
0.6791666746139526,0.3777778049310048,1796.0,73.0,234.27001254788905,24.602739726027398,3.209178254080672,265.0999366020224,1226.1916087923537,17.0,23.0,stress
0.6250000255448478,0.37142859612192425,270.0,90.0,133.60930728583983,3.0,1.4845478587315537,355.4268756063951,1333.8975598543138,13.0,17.0,stress
0.6388889087571038,0.3333333432674408,847.0,107.0,219.09997847038503,7.91588785046729,2.0476633501905144,400.0822255974092,1379.2473497647786,35.0,41.0,stress
0.5875000208616257,0.3500000163912773,2.0,57.0,2.414213562373095,0.03508771929824561,0.04235462390128237,368.7768743038323,1399.6171894922263,1.0,1.0,stress
0.6296874955296516,0.3333333432674408,624.0,98.0,189.41689432324065,6.36734693877551,1.9328254522779658,504.66614448055714,1504.5703886362837,43.0,45.0,stress
